# Oracle 비밀번호 정책 export (DBA_PROFILES)
# 생성일시: 2026-04-26
PROFILE              RESOURCE_NAME                   LIMIT
-------------------  ------------------------------  --------
APP_PROFILE          FAILED_LOGIN_ATTEMPTS           5
APP_PROFILE          PASSWORD_LIFE_TIME              90
APP_PROFILE          PASSWORD_REUSE_TIME             365
APP_PROFILE          PASSWORD_REUSE_MAX              4
APP_PROFILE          PASSWORD_VERIFY_FUNCTION        ORA12C_STRONG_VERIFY_FUNCTION
APP_PROFILE          PASSWORD_LOCK_TIME              1/24
APP_PROFILE          PASSWORD_GRACE_TIME             7
DEFAULT              FAILED_LOGIN_ATTEMPTS           10
DEFAULT              PASSWORD_LIFE_TIME              180
DEFAULT              PASSWORD_VERIFY_FUNCTION        NULL
# NOTE: APP_PROFILE에 복잡도 함수(ORA12C_STRONG_VERIFY_FUNCTION) 적용됨
# complexity_check: 대소문자+숫자+특수문자 조합 8자 이상 강제
